X,Y,Z,SensorValue
0.0,0.42,0.7,300
0.0,0.248,0.7,300
0.0,0.088,0.7,297
0.0,0.004,0.7,299
0.0,0.0,0.7,301
0.0,0.0,0.748,303
0.0,0.0,0.892,299
0.0,0.0,1.064,297
0.0,0.0,1.224,295
0.0,0.0,1.364,297
0.0,0.0,1.4,296
0.0,0.0,1.4,294
0.0,0.048,1.4,296
0.0,0.188,1.4,298
0.0,0.36,1.4,296
0.0,0.524,1.4,298
0.0,0.696,1.4,300
0.0,0.864,1.4,303
0.0,1.028,1.4,303
0.0,1.2,1.4,303
0.0,1.364,1.4,301
0.0,1.536,1.4,301
0.0,1.696,1.4,288
0.0,1.868,1.4,291
0.0,2.032,1.4,292
0.0,2.204,1.4,292
0.0,2.368,1.4,295
0.0,2.536,1.4,296
0.0,2.7,1.4,297
0.0,2.872,1.4,297
0.0,3.036,1.4,288
0.0,3.204,1.4,287
0.0,3.376,1.4,312
0.0,3.54,1.4,302
0.0,3.712,1.4,305
0.0,3.872,1.4,306
0.0,4.044,1.4,310
0.0,4.208,1.4,300
0.0,4.38,1.4,311
0.0,4.544,1.4,306
0.0,4.712,1.4,310
0.0,4.876,1.4,313
0.0,5.048,1.4,287
0.0,5.212,1.4,299
0.0,5.38,1.4,294
0.0,5.544,1.4,313
0.0,5.716,1.4,313
0.0,5.888,1.4,310
0.0,6.048,1.4,321
0.0,6.22,1.4,338
0.0,6.384,1.4,318
0.0,6.556,1.4,315
0.0,6.72,1.4,315
0.0,6.888,1.4,315
0.0,7.052,1.4,327
0.0,7.224,1.4,332
0.0,7.388,1.4,328
0.0,7.556,1.4,351
0.0,7.72,1.4,355
0.0,7.892,1.4,359
0.0,8.056,1.4,346
0.0,8.228,1.4,347
0.0,8.396,1.4,354
0.0,8.56,1.4,314
0.0,8.732,1.4,317
0.0,8.896,1.4,334
0.0,9.064,1.4,313
0.0,9.228,1.4,324
0.0,9.4,1.4,288
0.0,9.564,1.4,264
0.0,9.732,1.4,256
0.0,9.9,1.4,249
0.0,10.068,1.4,252
0.0,10.232,1.4,257
0.0,10.4,1.4,266
0.0,10.564,1.4,297
0.0,10.736,1.4,298
0.0,10.908,1.4,302
0.0,11.068,1.4,291
0.0,11.24,1.4,288
0.0,11.404,1.4,291
0.0,11.576,1.4,303
0.0,11.74,1.4,303
0.0,11.908,1.4,302
0.0,12.072,1.4,301
0.0,12.244,1.4,303
0.0,12.408,1.4,303
0.0,12.576,1.4,305
0.0,12.74,1.4,304
0.0,12.912,1.4,290
0.0,13.076,1.4,289
0.0,13.248,1.4,287
0.0,13.42,1.4,288
0.0,13.58,1.4,296
0.0,13.752,1.4,292
0.0,13.916,1.4,284
0.0,14.084,1.4,284
0.0,14.248,1.4,292
0.0,14.42,1.4,300
0.0,14.584,1.4,300
